District,State,Total,19&over,17-18,15-16,13-14,12-Nov,10-Sep,8-Jul,6&under,YearSpan,Year,state_id
Southeastern,MS,174,73,16,12,13,10,18,19,13,14-15,2015,28
Southeastern,MS,223,98,14,21,13,21,21,19,16,13-14,2014,28
Southeastern,MS,250,103,23,22,19,20,17,22,24,13-Dec,2013,28
Southeastern,MS,382,126,23,51,49,35,46,22,30,12-Nov,2012,28
Southeastern,MS,245,65,32,22,29,21,29,22,25,11-Oct,2011,28
Southeastern,MS,259,90,23,32,24,26,19,21,24,10-Sep,2010,28
Southeastern,MS,242,71,13,32,23,30,25,23,25,9-Aug,2009,28
Southeastern,MS,312,97,16,18,37,38,39,29,38,8-Jul,2008,28
Southeastern,MS,221,64,8,20,34,23,41,15,16,7-Jun,2007,28
Northern Plains,MT,"5,937","3,083",228,339,414,451,469,529,424,23-24,2024,30
Northern Plains,MT,"5,810","2,925",207,297,401,471,510,507,492,22-23,2023,30
Northern Plains,MT,"5,581","2,839",191,269,377,461,488,461,495,21-22,2022,30
Northern Plains,MT,4477,2219,170,243,312,387,412,356,378,20-21,2021,30
Northern Plains,MT,5046,2804,146,218,287,372,417,402,400,19-20,2020,30
Northern Plains,MT,"4,967","2,817",167,203,272,327,412,378,391,18-19,2019,30
Northern Plains,MT,"4,765","2,685",179,193,269,334,372,379,354,17-18,2018,30
Northern Plains,MT,"4,660","2,600",158,207,253,343,358,372,369,16-17,2017,30
Northern Plains,MT,"4,583","2,526",155,227,220,305,369,384,397,15-16,2016,30
Northern Plains,MT,"4,469","2,501",183,196,238,271,357,361,362,14-15,2015,30
Northern Plains,MT,"4,253","2,311",181,202,249,247,324,341,398,13-14,2014,30
Northern Plains,MT,"3,989","2,138",178,214,232,300,277,306,344,13-Dec,2013,30
Northern Plains,MT,"3,951","2,088",199,218,238,279,307,309,313,12-Nov,2012,30
Northern Plains,MT,"3,714","1,842",210,214,252,257,331,299,309,11-Oct,2011,30
Northern Plains,MT,"3,568","1,750",202,265,256,266,277,288,264,10-Sep,2010,30
Northern Plains,MT,"3,361","1,591",190,249,241,281,272,291,246,9-Aug,2009,30
Northern Plains,MT,"3,242",1513,210,230,276,260,263,252,238,8-Jul,2008,30
Rocky Mountain,MT,"2,993",1271,155,235,282,257,280,250,263,7-Jun,2007,30
Southeastern,NC,"8,174","2,978",390,626,793,972,976,896,543,23-24,2024,37
Southeastern,NC,"7,654","2,836",350,569,737,902,969,780,511,22-23,2023,37
Southeastern,NC,"7,191","2,759",322,558,665,742,913,774,458,21-22,2022,37
Southeastern,NC,5626,2173,316,470,570,647,630,492,328,20-21,2021,37
Southeastern,NC,7260,2760,302,498,618,713,870,821,678,19-20,2020,37
Southeastern,NC,"6,785","2,696",298,478,572,642,761,754,584,18-19,2019,37
Southeastern,NC,"6,982","3,121",329,447,580,629,615,654,607,17-18,2018,37
Southeastern,NC,"6,531","3,127",310,439,574,604,575,516,386,16-17,2017,37
Southeastern,NC,"6,730","3,385",291,496,560,656,574,463,305,15-16,2016,37
Southeastern,NC,"6,677","3,404",302,459,574,648,568,436,286,14-15,2015,37
Southeastern,NC,"6,180","3,045",291,439,583,580,575,401,266,13-14,2014,37
Southeastern,NC,"6,209","3,078",287,426,552,617,562,407,280,13-Dec,2013,37
Southeastern,NC,"6,397","3,117",298,464,550,627,574,455,312,12-Nov,2012,37
Southeastern,NC,"5,812","2,801",284,446,516,564,517,394,290,11-Oct,2011,37
Southeastern,NC,"5,598","2,645",295,392,523,571,548,350,274,10-Sep,2010,37
Southeastern,NC,"5,786","3,115",263,379,512,491,480,322,224,9-Aug,2009,37
Southeastern,NC,"5,966",3198,298,393,503,500,459,367,248,8-Jul,2008,37
Southeastern,NC,"5,726",3145,254,394,461,522,412,335,205,7-Jun,2007,37
Northern Plains,ND,"7,262",525,360,545,999,"1,120","1,208","1,219","1,286",23-24,2024,38
Northern Plains,ND,"7,394",565,396,596,952,"1,157","1,188","1,268","1,272",22-23,2023,38
Northern Plains,ND,"7,310",502,282,564,988,"1,121","1,228","1,250","1,375",21-22,2022,38
Northern Plains,ND,7051,479,279,511,935,1054,1212,1213,1368,20-21,2021,38
Northern Plains,ND,6981,371,268,436,903,1091,1199,1248,1465,19-20,2020,38
Northern Plains,ND,"6,781",331,248,452,889,"1,030","1,163","1,256","1,412",18-19,2019,38
Northern Plains,ND,"6,891",509,241,471,839,991,"1,170","1,240","1,430",17-18,2018,38
Northern Plains,ND,"6,896",595,239,432,848,976,"1,135","1,256","1,415",16-17,2017,38
Northern Plains,ND,"6,461",376,267,427,817,912,"1,087","1,221","1,354",15-16,2016,38
Northern Plains,ND,"5,832",346,278,423,754,927,"1,040",983,"1,081",14-15,2015,38
Northern Plains,ND,"5,587",328,246,417,720,880,964,"1,000","1,032",13-14,2014,38
Northern Plains,ND,"5,315",275,220,425,689,802,972,951,981,13-Dec,2013,38
Northern Plains,ND,"5,236",337,245,385,698,807,906,871,987,12-Nov,2012,38
Northern Plains,ND,"4,960",255,284,410,726,757,822,798,908,11-Oct,2011,38
Northern Plains,ND,"4,547",241,284,441,662,750,801,652,716,10-Sep,2010,38
Northern Plains,ND,"4,348",141,262,434,680,775,726,661,669,9-Aug,2009,38
Northern Plains,ND,"4,215",131,245,446,711,729,736,652,565,8-Jul,2008,38
Minnkota,ND,"4,248",131,271,383,748,736,775,632,572,7-Jun,2007,38
Central,NE,"2,205",400,180,266,292,275,278,278,236,23-24,2024,31
Central,NE,"2,151",369,183,238,284,300,260,290,227,22-23,2023,31
Central,NE,"2,144",378,156,232,294,300,267,268,249,21-22,2022,31
Central,NE,1875,388,135,219,264,263,247,196,163,20-21,2021,31
Central,NE,1954,388,118,200,261,297,271,224,195,19-20,2020,31
Central,NE,"1,921",351,151,166,260,280,272,242,199,18-19,2019,31
Central,NE,"1,981",375,137,180,241,287,293,265,203,17-18,2018,31
Central,NE,"2,009",423,128,192,199,281,281,259,246,16-17,2017,31
Central,NE,"1,931",404,116,173,215,266,272,250,235,15-16,2016,31
Central,NE,"1,839",326,124,157,225,235,275,253,244,14-15,2015,31
Central,NE,"1,693",212,109,167,198,216,263,244,284,13-14,2014,31
Central,NE,"1,599",199,119,166,181,212,217,239,266,13-Dec,2013,31
Central,NE,"1,683",275,140,159,173,208,203,241,284,12-Nov,2012,31
Central,NE,"1,626",222,142,185,181,178,210,204,304,11-Oct,2011,31
Central,NE,"1,459",224,154,189,184,180,172,172,184,10-Sep,2010,31
Central,NE,"1,563",207,168,208,214,220,179,176,191,9-Aug,2009,31
Central,NE,"1,532",165,155,226,224,216,183,164,199,8-Jul,2008,31
Central,NE,"1,578",168,170,228,241,225,206,179,161,7-Jun,2007,31
New England,NH,"5,569",594,463,693,805,777,836,724,677,23-24,2024,33
New England,NH,"5,645",610,487,700,818,788,799,733,710,22-23,2023,33
New England,NH,"5,662",625,433,696,853,837,790,698,730,21-22,2022,33
New England,NH,4936,408,388,691,820,813,745,557,514,20-21,2021,33
New England,NH,5818,651,394,680,863,878,834,736,782,19-20,2020,33
New England,NH,"5,805",674,383,653,874,880,876,726,739,18-19,2019,33
New England,NH,"5,846",627,384,617,869,892,886,787,784,17-18,2018,33
New England,NH,"5,910",609,401,591,857,945,895,812,800,16-17,2017,33
New England,NH,"6,000",802,369,627,859,931,912,782,718,15-16,2016,33
New England,NH,"6,252",968,386,595,876,934,953,787,753,14-15,2015,33
New England,NH,"6,211",926,400,606,876,901,912,814,776,13-14,2014,33
New England,NH,"6,300",854,450,681,827,971,878,898,741,13-Dec,2013,33
New England,NH,"6,399",987,388,689,851,"1,049",876,770,789,12-Nov,2012,33
New England,NH,"6,092",783,449,681,928,923,891,700,737,11-Oct,2011,33
New England,NH,"6,120",781,449,696,"1,001",927,902,689,675,10-Sep,2010,33
New England,NH,"6,881",750,468,925,"1,161","1,184","1,053",726,614,9-Aug,2009,33
New England,NH,"6,572",668,472,827,"1,024","1,105",990,805,681,8-Jul,2008,33
New England,NH,"6,460",579,437,836,"1,113","1,051","1,004",804,636,7-Jun,2007,33
Atlantic,NJ,"18,018","5,073","1,380","1,980","2,162","2,096","2,154","1,881","1,292",23-24,2024,34
Atlantic,NJ,"18,871","5,201","1,348","1,981","2,181","2,143","2,221","2,222","1,574",22-23,2023,34
Atlantic,NJ,"18,267","4,956","1,378","2,004","2,167","2,215","2,153","2,045","1,349",21-22,2022,34
Atlantic,NJ,15231,3222,1271,1937,2187,2174,1956,1555,929,20-21,2021,34
Atlantic,NJ,19404,5511,1403,2015,2327,2333,2316,2054,1445,19-20,2020,34
Atlantic,NJ,"20,256","5,715","1,514","2,067","2,382","2,442","2,434","2,102","1,600",18-19,2019,34
Atlantic,NJ,"19,498","5,203","1,424","2,252","2,499","2,425","2,313","2,041","1,341",17-18,2018,34
Atlantic,NJ,"19,656","5,527","1,434","2,186","2,512","2,494","2,258","1,911","1,334",16-17,2017,34
Atlantic,NJ,"18,978","5,568","1,374","2,168","2,545","2,578","2,157","1,669",919,15-16,2016,34
Atlantic,NJ,"18,753","5,154","1,375","2,129","2,575","2,549","2,274","1,762",935,14-15,2015,34
Atlantic,NJ,"18,438","5,170","1,404","1,970","2,473","2,503","2,275","1,720",923,13-14,2014,34
Atlantic,NJ,"18,264","5,200","1,454","2,030","2,424","2,486","2,194","1,662",814,13-Dec,2013,34
Atlantic,NJ,"17,819","4,548","1,507","2,070","2,244","2,596","2,288","1,688",878,12-Nov,2012,34
Atlantic,NJ,"17,292","4,579","1,465","2,033","2,284","2,291","2,096","1,579",965,11-Oct,2011,34
Atlantic,NJ,"16,041","4,026","1,375","2,093","2,329","2,201","1,983","1,389",645,10-Sep,2010,34
Atlantic,NJ,"16,604","6,097","1,746","2,228","2,080","1,719","1,288","1,001",445,9-Aug,2009,34
Atlantic,NJ,"16,549",4011,"1,412","2,119","2,568","2,370","1,923","1,448",698,8-Jul,2008,34
Atlantic,NJ,"16,017",3387,"1,300","2,092","2,537","2,440","2,078","1,406",777,7-Jun,2007,34
Rocky Mountain,NM,"1,469",595,69,85,128,147,154,159,132,23-24,2024,35
Rocky Mountain,NM,"1,490",631,74,96,114,140,142,149,144,22-23,2023,35
Rocky Mountain,NM,"1,425",574,84,94,106,129,142,134,162,21-22,2022,35
Rocky Mountain,NM,670,103,44,96,94,93,91,77,72,20-21,2021,35
Rocky Mountain,NM,1392,627,49,102,117,137,128,124,108,19-20,2020,35
Rocky Mountain,NM,"1,397",617,76,74,121,140,130,129,110,18-19,2019,35
Rocky Mountain,NM,"1,412",597,69,87,115,138,122,132,152,17-18,2018,35
Rocky Mountain,NM,"1,413",604,78,103,98,154,122,114,140,16-17,2017,35
Rocky Mountain,NM,"1,373",601,56,106,103,138,132,101,136,15-16,2016,35
Rocky Mountain,NM,"1,418",663,61,100,113,119,143,112,107,14-15,2015,35
Rocky Mountain,NM,"1,298",603,55,85,111,129,123,105,87,13-14,2014,35
Rocky Mountain,NM,"1,280",506,68,93,120,146,122,129,96,13-Dec,2013,35
Rocky Mountain,NM,"1,306",484,87,107,106,144,133,129,116,12-Nov,2012,35
Rocky Mountain,NM,"1,269",460,85,124,108,137,131,106,118,11-Oct,2011,35
Rocky Mountain,NM,"1,207",394,94,123,121,123,141,106,105,10-Sep,2010,35
Rocky Mountain,NM,"1,254",449,89,136,130,130,114,110,96,9-Aug,2009,35
Rocky Mountain,NM,"1,341",482,83,154,137,146,131,122,86,8-Jul,2008,35
Rocky Mountain,NM,"1,288",443,93,111,151,165,132,109,84,7-Jun,2007,35
Pacific,NV,"5,091","2,117",183,318,521,589,637,504,222,23-24,2024,32
Pacific,NV,"4,975","2,138",135,304,448,570,655,528,197,22-23,2023,32
Pacific,NV,"5,342","2,370",94,272,379,588,687,647,305,21-22,2022,32
Pacific,NV,3750,1655,75,160,290,395,468,441,266,20-21,2021,32
Pacific,NV,3235,1475,95,133,231,331,429,350,191,19-20,2020,32
Pacific,NV,"2,574","1,374",70,113,133,209,292,233,150,18-19,2019,32
Pacific,NV,"1,592",955,56,84,79,120,118,97,83,17-18,2018,32
Pacific,NV,"1,382",843,40,89,86,103,109,78,34,16-17,2017,32
Pacific,NV,"1,305",795,39,64,90,86,112,87,32,15-16,2016,32
Pacific,NV,"1,358",806,30,60,100,109,100,95,58,14-15,2015,32
Pacific,NV,"1,244",758,36,50,82,92,80,94,52,13-14,2014,32
Pacific,NV,"1,230",761,35,57,68,89,96,64,60,13-Dec,2013,32
Pacific,NV,"1,144",715,41,42,65,76,90,59,56,12-Nov,2012,32
Pacific,NV,"1,146",707,35,52,65,75,85,73,54,11-Oct,2011,32
Pacific,NV,940,522,51,59,56,67,65,66,54,10-Sep,2010,32
Pacific,NV,"1,067",565,63,67,86,81,77,68,60,9-Aug,2009,32
Pacific,NV,915,508,59,78,58,65,52,45,50,8-Jul,2008,32
Pacific,NV,"1,002",588,34,91,65,63,59,48,52,7-Jun,2007,32
New York,NY,"45,047","9,874","2,408","4,212","4,995","5,300","5,935","5,843","6,480",23-24,2024,36
New York,NY,"46,097","9,735","2,671","4,180","4,881","5,416","6,100","6,412","6,702",22-23,2023,36
New York,NY,"46,410","9,905","2,889","4,279","5,171","5,362","5,923","6,044","6,837",21-22,2022,36
New York,NY,37865,5600,2658,4364,4930,4991,5257,4976,5089,20-21,2021,36
New York,NY,47428,10884,2487,4455,5084,5556,5953,6037,6972,19-20,2020,36
New York,NY,"50,587","13,454","2,781","4,440","5,459","5,550","5,850","6,096","6,957",18-19,2019,36
New York,NY,"50,103","13,763","2,805","4,349","5,559","5,624","5,782","5,762","6,459",17-18,2018,36
New York,NY,"50,042","13,891","2,764","4,424","5,590","5,995","5,683","5,430","6,265",16-17,2017,36
New York,NY,"49,921","14,386","2,693","4,579","5,564","6,044","5,716","5,163","5,776",15-16,2016,36
New York,NY,"48,580","13,815","2,594","4,505","5,518","5,917","5,833","5,002","5,396",14-15,2015,36
New York,NY,"48,354","14,034","2,663","4,196","5,587","5,867","5,847","4,866","5,294",13-14,2014,36
New York,NY,"48,544","14,071","2,638","4,095","5,544","5,908","5,866","5,159","5,263",13-Dec,2013,36
New York,NY,"48,205","13,134","2,710","4,109","5,382","6,027","5,887","5,437","5,519",12-Nov,2012,36
New York,NY,"48,169","12,958","2,759","4,300","5,428","6,023","5,861","5,350","5,490",11-Oct,2011,36
New York,NY,"46,389","11,806","2,838","4,437","5,456","5,823","5,871","5,086","5,072",10-Sep,2010,36
New York,NY,"45,185","10,152","2,938","4,699","5,677","5,967","5,833","5,164","4,755",9-Aug,2009,36
New York,NY,"44,731",9924,"3,026","4,866","5,832","5,891","5,638","4,993","4,561",8-Jul,2008,36
New York,NY,"42,229",8380,"2,816","4,827","5,822","5,912","5,467","4,700","4,305",7-Jun,2007,36
Mid-American,OH,"18,034","5,501",949,"1,384","1,853","2,160","2,223","2,154","1,810",23-24,2024,39
Mid‐American,OH,"17,716","5,468",995,"1,362","1,814","2,098","2,203","2,009","1,767",22-23,2023,39
Mid‐American,OH,"16,882","5,449",941,"1,284","1,729","1,951","2,134","1,798","1,596",21-22,2022,39
Mid‐American,OH,14469,4328,835,1255,1670,1819,1903,1531,1128,20-21,2021,39
Mid‐American,OH,16123,5622,864,1208,1615,1870,1916,1771,1257,19-20,2020,39
Mid-American,OH,"16,224","5,759",892,"1,250","1,652","1,808","1,886","1,742","1,235",18-19,2019,39
Mid-American,OH,"15,686","5,462",884,"1,220","1,624","1,760","1,806","1,659","1,271",17-18,2018,39
Mid-American,OH,"15,446","5,445",897,"1,215","1,655","1,785","1,733","1,542","1,174",16-17,2017,39
Mid-American,OH,"14,954","5,342",892,"1,160","1,606","1,745","1,675","1,446","1,088",15-16,2016,39
Mid-American,OH,"14,735","5,183",846,"1,208","1,614","1,776","1,678","1,415","1,015",14-15,2015,39
Mid-American,OH,"14,387","5,173",842,"1,146","1,538","1,719","1,650","1,313","1,006",13-14,2014,39
Mid-American,OH,"14,430","5,117",848,"1,139","1,541","1,700","1,685","1,403",997,13-Dec,2013,39
Mid-American,OH,"14,476","4,932",926,"1,193","1,576","1,714","1,663","1,429","1,043",12-Nov,2012,39
Mid-American,OH,"14,272","4,771",952,"1,198","1,550","1,718","1,664","1,392","1,027",11-Oct,2011,39
Mid-American,OH,"13,579","4,272",925,"1,212","1,632","1,732","1,588","1,280",938,10-Sep,2010,39
Mid-American,OH,"13,218","4,009",824,"1,135","1,673","1,710","1,608","1,328",931,9-Aug,2009,39
Mid-American,OH,"12,922",3452,841,"1,174","1,780","1,814","1,680","1,297",884,8-Jul,2008,39
Mid-American,OH,"12,428",2492,859,"1,272","1,798","1,922","1,650","1,438",997,7-Jun,2007,39
Rocky Mountain,OK,993,262,43,82,106,161,126,129,84,23-24,2024,40
Rocky Mountain,OK,"1,069",318,41,74,95,158,143,128,112,22-23,2023,40
Rocky Mountain,OK,"1,017",311,47,67,103,135,166,104,84,21-22,2022,40
Rocky Mountain,OK,846,283,36,57,82,110,111,101,66,20-21,2021,40
Rocky Mountain,OK,912,255,21,66,89,130,135,124,92,19-20,2020,40
Rocky Mountain,OK,951,251,45,54,92,127,143,131,108,18-19,2019,40
Rocky Mountain,OK,973,295,41,55,74,112,127,137,132,17-18,2018,40
Rocky Mountain,OK,991,347,39,63,89,103,103,122,125,16-17,2017,40
Rocky Mountain,OK,"1,113",598,33,68,90,97,98,80,49,15-16,2016,40
Rocky Mountain,OK,"1,143",619,36,68,82,96,108,71,63,14-15,2015,40
Rocky Mountain,OK,738,420,30,46,74,66,57,27,18,13-14,2014,40
Rocky Mountain,OK,"1,089",584,47,53,81,100,93,79,52,13-Dec,2013,40
Rocky Mountain,OK,"1,015",483,59,66,71,107,98,81,50,12-Nov,2012,40
Rocky Mountain,OK,"1,113",640,50,65,69,80,94,68,47,11-Oct,2011,40
Rocky Mountain,OK,"1,051",580,59,63,78,75,85,74,37,10-Sep,2010,40
Rocky Mountain,OK,"1,058",585,64,73,74,74,72,75,41,9-Aug,2009,40
Rocky Mountain,OK,"1,102",628,81,81,71,85,61,61,34,8-Jul,2008,40
Rocky Mountain,OK,584,80,80,92,91,86,55,53,47,7-Jun,2007,40
Pacific,OR,"2,916","1,843",99,129,177,233,189,141,105,23-24,2024,41
Pacific,OR,"2,708","1,617",112,144,170,200,217,148,100,22-23,2023,41
Pacific,OR,"2,672","1,653",102,129,169,184,193,136,106,21-22,2022,41
Pacific,OR,1917,1030,86,137,170,175,146,117,56,20-21,2021,41
Pacific,OR,2776,1659,112,163,171,220,185,159,107,19-20,2020,41
Pacific,OR,"2,790","1,690",79,147,198,196,196,153,131,18-19,2019,41
Pacific,OR,"2,737","1,671",78,121,187,208,184,154,134,17-18,2018,41
Pacific,OR,"2,734","1,727",84,120,169,200,178,144,112,16-17,2017,41
Pacific,OR,"2,647","1,698",87,114,161,197,170,113,107,15-16,2016,41
Pacific,OR,"2,566","1,663",81,96,137,178,180,118,113,14-15,2015,41
Pacific,OR,"2,148","1,361",72,101,114,144,142,110,104,13-14,2014,41
Pacific,OR,"1,340",596,74,95,97,128,146,110,94,13-Dec,2013,41
Pacific,OR,881,225,76,95,111,110,97,94,73,12-Nov,2012,41
Pacific,OR,777,105,104,111,114,95,98,86,64,11-Oct,2011,41
Pacific,OR,804,146,91,131,103,114,104,77,38,10-Sep,2010,41
Pacific,OR,747,114,97,139,126,103,70,58,40,9-Aug,2009,41
Pacific,OR,995,307,113,135,132,97,98,68,45,8-Jul,2008,41
Pacific,OR,"1,115",370,139,157,137,122,89,58,43,7-Jun,2007,41
New England,RI,"3,580",487,268,437,476,415,455,428,614,23-24,2024,44
New England,RI,"3,566",477,293,437,460,465,441,407,586,22-23,2023,44
New England,RI,"3,495",435,236,421,487,482,425,428,581,21-22,2022,44
New England,RI,2920,220,197,378,496,449,447,383,350,20-21,2021,44
New England,RI,3855,534,240,369,515,534,529,455,679,19-20,2020,44
New England,RI,"3,919",551,200,369,519,559,529,507,685,18-19,2019,44
New England,RI,"3,988",550,236,355,516,568,564,525,674,17-18,2018,44
New England,RI,"4,206",560,290,384,570,603,597,532,670,16-17,2017,44
New England,RI,"4,535",673,368,405,559,613,613,562,742,15-16,2016,44
New England,RI,"4,532",733,211,409,548,644,640,592,755,14-15,2015,44
New England,RI,"4,621",648,277,390,569,642,630,640,825,13-14,2014,44
New England,RI,"4,748",685,320,389,553,663,642,649,847,13-Dec,2013,44
New England,RI,"4,911",801,201,395,565,639,668,690,952,12-Nov,2012,44
New England,RI,"4,611",601,240,416,537,636,644,645,892,11-Oct,2011,44
New England,RI,"4,641",551,245,399,581,641,653,657,914,10-Sep,2010,44
New England,RI,"4,901",527,207,424,705,705,739,664,930,9-Aug,2009,44
New England,RI,"4,891",587,196,400,621,726,685,706,970,8-Jul,2008,44
New England,RI,"4,640",497,165,359,626,751,691,674,877,7-Jun,2007,44
Southeastern,SC,"3,247","2,018",110,170,185,208,231,176,149,23-24,2024,45
